"","Trajectory","Frame","x","y","z"
"1","1",1,40.32,49.36,1
"2","1",2,41.03,47.33,1
"3","1",3,41.05,48.43,1
"4","1",4,40.9,49.09,1
"5","2",2,62.86,79.91,1
"6","2",3,63.38,81.25,1
"7","3",4,39.88,46.11,1
"8","3",5,39.31,46.96,1
"9","3",6,41.94,47.86,1
"10","3",7,42.95,48.65,1
"11","3",8,42.66,47.91,1
"12","3",9,41.32,47.89,1
"13","3",10,41.66,48.1,1
"14","3",11,42.13,50.9,1
"15","3",12,42.69,51.34,1
"16","4",5,64.12,81.82,1
"17","4",6,63.88,79.71,1
"18","4",7,68.23,81.2,1
"19","4",8,69.87,84.75,1
"20","4",9,68.36,83.06,1
"21","4",10,64.12,81.04,1
"22","4",11,64.11,80.86,1
"23","4",12,64.9,81.72,1
"24","5",11,66.96,81.21,1
"25","5",12,70.66,79.81,1
"26","5",13,70.23,81.79,1
"27","5",14,70.76,83.94,1
"28","5",15,69.3,82.85,1
"29","5",16,69.97,83.75,1
"30","5",17,70.17,85.89,1
"31","5",18,69.75,85.83,1
"32","5",19,68.24,84.26,1
"33","5",20,65.32,81.81,1
"34","5",21,68.84,85.35,1
"35","5",22,68.06,87.37,1
"36","6",12,36.39,48.06,1
"37","6",13,40.05,48.74,1
"38","6",14,41.01,50.73,1
"39","6",15,40.09,50.31,1
"40","6",16,39.87,49.3,1
"41","6",17,39.01,49.68,1
"42","6",18,36.7,48.19,1
"43","6",19,37.04,47.28,1
"44","6",20,39.17,50.84,1
"45","7",14,65.75,79.14,1
"46","7",15,65.94,78.89,1
"47","7",16,63.9,80.72,1
"48","7",17,63.37,80.91,1
"49","7",18,65.93,80.7,1
"50","8",19,42.22,49.06,1
"51","8",20,40.86,47.38,1
"52","8",21,40.26,49.05,1
"53","8",22,40.82,50.2,1
"54","8",23,38.78,47.78,1
"55","8",24,41.72,49.07,1
"56","8",25,37.98,49.9,1
"57","9",22,37.18,48.74,1
"58","9",23,34.34,47.02,1
"59","10",24,63.85,78.69,1
"60","10",25,63.73,79.93,1
"61","10",26,61.86,79.21,1
"62","10",27,62.82,80.95,1
"63","10",28,63.85,79.26,1
"64","10",29,62.92,81.72,1
"65","10",30,62.99,81.1,1
"66","10",31,63.92,80.34,1
"67","10",32,63.93,79.87,1
"68","10",33,62.21,80.22,1
"69","11",24,68.63,86.87,1
"70","11",25,68.4,87.06,1
"71","11",26,68.84,86.97,1
"72","11",27,67.81,86.16,1
"73","11",28,69.86,87,1
"74","11",29,70.05,87.37,1
"75","11",30,71.01,84.4,1
"76","11",31,71.81,84.75,1
"77","11",32,71.91,85.6,1
"78","11",33,67.35,84.86,1
"79","11",34,71.19,85.98,1
"80","11",35,71.75,83.82,1
"81","11",36,72.76,84.95,1
"82","11",37,71.89,85.73,1
"83","11",38,71.09,87.11,1
"84","11",39,72.21,87.92,1
"85","11",40,72.2,87.27,1
"86","11",41,72.04,88.76,1
"87","12",28,37.16,47.75,1
"88","12",29,35,47.82,1
"89","12",30,36.09,48.9,1
"90","12",31,39.84,49.62,1
"91","12",32,40,49.96,1
"92","12",33,39.79,49.2,1
"93","12",34,39.01,49.7,1
"94","12",35,39.73,50.35,1
"95","12",36,38.86,51.23,1
"96","13",32,35.19,46.24,1
"97","13",33,35.3,46.94,1
"98","14",35,62.96,80.34,1
"99","14",36,63.16,80.89,1
"100","14",37,63.78,81.66,1
"101","14",38,63.39,80.09,1
"102","14",39,63.92,79.3,1
"103","14",40,65.59,80.13,1
"104","14",41,64.82,80.8,1
"105","14",42,65.21,79.96,1
"106","15",38,41.13,49.21,1
"107","15",39,40.71,49.96,1
"108","15",40,39,50.82,1
"109","16",44,39.93,50.66,1
"110","16",45,40.87,49.11,1
"111","16",46,37.99,50.18,1
"112","16",47,40.03,49.08,1
"113","16",48,38.29,49.88,1
"114","16",49,39.06,49.8,1
"115","17",44,72.34,87.84,1
"116","17",45,70.78,87.87,1
"117","17",46,69.24,86.06,1
"118","18",46,63.81,81.18,1
"119","18",47,66.99,79.22,1
"120","18",48,68.26,80.79,1
"121","19",47,35.74,44.99,1
"122","19",48,36.8,46.05,1
"123","20",48,62.83,82.79,1
"124","20",49,62.73,83.9,1
"125","20",50,63.84,83.18,1
"126","20",51,63.97,84.08,1
"127","20",52,62.68,83.76,1
"128","20",53,62.62,84.2,1
"129","20",54,61.67,85.14,1
"130","21",51,37.73,48.26,1
"131","21",52,35.84,47.07,1
"132","21",53,39.65,49.91,1
"133","21",54,38.76,51.08,1
"134","22",54,64.86,81.6,1
"135","22",55,65.14,82.15,1
"136","22",56,65.27,81.06,1
"137","22",57,64.09,79.4,1
"138","22",58,63.03,79.85,1
"139","22",59,62.79,81.78,1
"140","22",60,63.95,79.84,1
"141","23",58,39.9,52.21,1
"142","23",59,37.87,53.21,1
"143","24",61,36.36,43.21,1
"144","24",62,36.1,43.26,1
"145","25",61,36.18,52.13,1
"146","25",62,35.11,55.81,1
"147","26",61,39.81,50.23,1
"148","26",62,39.85,53.85,1
"149","27",62,62.26,80.13,1
"150","27",63,62.81,80.02,1
"151","27",64,62.04,79.9,1
"152","27",65,62.2,80.25,1
"153","27",66,63.01,80.28,1
"154","27",67,62.78,80.86,1
"155","27",68,62.14,81.1,1
"156","27",69,62.21,80.9,1
"157","27",70,60.81,81.82,1
"158","27",71,61.26,81.7,1
"159","27",72,61.34,82.12,1
"160","27",73,62.28,83.87,1
"161","27",74,61.93,82.28,1
"162","27",75,62.32,83.87,1
"163","27",76,63.78,83.87,1
"164","27",77,62.67,84.15,1
"165","27",78,62.16,82.88,1
"166","27",79,61.92,82.65,1
"167","27",80,61.97,81.28,1
"168","27",81,62.29,80.78,1
"169","27",82,63,78.94,1
"170","27",83,61.68,79.86,1
